,obj_id,vol_avg_dice,global_allres_sim,global_lowres_sim,global_masked_allres_sim,global_masked_lowres_sim,local_allres_sim,local_lowres_sim,local_masked_allres_sim,local_masked_lowres_sim,lesion_allres_sim,lesion_lowres_sim
0,BRATS_118.nii.gz_1,tensor(0.),"[60, 1]","[60, 1]","[61, 0]","[54, 7]","[61, 0]","[61, 0]","[49, 12]","[49, 12]","[30, 31]","[25, 36]"
1,BRATS_118.nii.gz_2,tensor(0.),"[29, 0]","[29, 0]","[16, 13]","[11, 18]","[29, 0]","[29, 0]","[16, 13]","[15, 14]","[11, 18]","[13, 16]"
2,BRATS_118.nii.gz_3,tensor(0.),"[33, 0]","[33, 0]","[25, 8]","[21, 12]","[33, 0]","[33, 0]","[25, 8]","[27, 6]","[15, 18]","[13, 20]"
3,BRATS_355.nii.gz_1,tensor(0.),"[38, 0]","[38, 0]","[28, 10]","[17, 21]","[38, 0]","[38, 0]","[19, 19]","[20, 18]","[11, 27]","[8, 30]"
4,BRATS_355.nii.gz_2,tensor(0.),"[28, 0]","[28, 0]","[18, 10]","[16, 12]","[28, 0]","[28, 0]","[18, 10]","[15, 13]","[13, 15]","[10, 18]"
5,BRATS_355.nii.gz_3,tensor(0.),"[28, 0]","[28, 0]","[12, 16]","[10, 18]","[28, 0]","[28, 0]","[17, 11]","[17, 11]","[8, 20]","[7, 21]"
6,BRATS_432.nii.gz_1,tensor(0.1254),"[62, 0]","[61, 1]","[46, 16]","[31, 31]","[62, 0]","[62, 0]","[61, 1]","[60, 2]","[23, 39]","[22, 40]"
7,BRATS_432.nii.gz_2,tensor(0.),"[53, 0]","[52, 1]","[25, 28]","[18, 35]","[53, 0]","[53, 0]","[30, 23]","[33, 20]","[13, 40]","[10, 43]"
8,BRATS_432.nii.gz_3,tensor(0.0046),"[61, 0]","[60, 1]","[51, 10]","[40, 21]","[61, 0]","[61, 0]","[52, 9]","[49, 12]","[25, 36]","[23, 38]"
9,BRATS_140.nii.gz_1,tensor(0.),"[85, 2]","[83, 4]","[85, 2]","[74, 13]","[87, 0]","[87, 0]","[76, 11]","[77, 10]","[37, 50]","[32, 55]"
10,BRATS_140.nii.gz_2,tensor(0.),"[45, 0]","[44, 1]","[36, 9]","[30, 15]","[45, 0]","[45, 0]","[17, 28]","[17, 28]","[8, 37]","[9, 36]"
11,BRATS_140.nii.gz_3,tensor(0.),"[41, 0]","[40, 1]","[34, 7]","[17, 24]","[41, 0]","[41, 0]","[38, 3]","[30, 11]","[10, 31]","[10, 31]"
12,BRATS_139.nii.gz_1,tensor(0.),"[60, 2]","[59, 3]","[51, 11]","[49, 13]","[62, 0]","[62, 0]","[53, 9]","[54, 8]","[19, 43]","[20, 42]"
13,BRATS_139.nii.gz_2,tensor(0.),"[37, 6]","[37, 6]","[29, 14]","[28, 15]","[37, 6]","[37, 6]","[25, 18]","[24, 19]","[14, 29]","[15, 28]"
14,BRATS_139.nii.gz_3,tensor(0.),"[26, 0]","[26, 0]","[20, 6]","[21, 5]","[26, 0]","[26, 0]","[16, 10]","[16, 10]","[13, 13]","[13, 13]"
15,BRATS_013.nii.gz_1,tensor(0.),"[29, 0]","[29, 0]","[27, 2]","[24, 5]","[29, 0]","[29, 0]","[17, 12]","[14, 15]","[9, 20]","[7, 22]"
16,BRATS_013.nii.gz_2,tensor(0.),"[12, 0]","[12, 0]","[1, 11]","[4, 8]","[12, 0]","[12, 0]","[3, 9]","[8, 4]","[1, 11]","[4, 8]"
17,BRATS_013.nii.gz_3,tensor(0.),"[16, 0]","[16, 0]","[14, 2]","[14, 2]","[16, 0]","[16, 0]","[8, 8]","[7, 9]","[8, 8]","[8, 8]"
18,BRATS_409.nii.gz_1,tensor(0.),"[75, 0]","[74, 1]","[55, 20]","[39, 36]","[75, 0]","[75, 0]","[68, 7]","[69, 6]","[28, 47]","[23, 52]"
19,BRATS_409.nii.gz_2,tensor(0.),"[24, 0]","[24, 0]","[8, 16]","[10, 14]","[24, 0]","[24, 0]","[10, 14]","[9, 15]","[11, 13]","[10, 14]"
20,BRATS_409.nii.gz_3,tensor(0.),"[41, 0]","[41, 0]","[22, 19]","[16, 25]","[41, 0]","[41, 0]","[29, 12]","[24, 17]","[17, 24]","[15, 26]"
21,BRATS_053.nii.gz_1,tensor(0.),"[67, 0]","[67, 0]","[63, 4]","[55, 12]","[67, 0]","[67, 0]","[56, 11]","[55, 12]","[24, 43]","[25, 42]"
22,BRATS_053.nii.gz_2,tensor(0.),"[45, 0]","[45, 0]","[12, 33]","[14, 31]","[45, 0]","[45, 0]","[22, 23]","[25, 20]","[8, 37]","[14, 31]"
23,BRATS_053.nii.gz_3,tensor(0.),"[32, 0]","[32, 0]","[25, 7]","[21, 11]","[32, 0]","[32, 0]","[24, 8]","[23, 9]","[10, 22]","[10, 22]"
24,BRATS_173.nii.gz_1,tensor(0.),"[84, 0]","[84, 0]","[80, 4]","[73, 11]","[84, 0]","[84, 0]","[61, 23]","[61, 23]","[19, 65]","[18, 66]"
25,BRATS_173.nii.gz_2,tensor(0.),"[54, 0]","[54, 0]","[33, 21]","[31, 23]","[54, 0]","[54, 0]","[13, 41]","[22, 32]","[5, 49]","[16, 38]"
26,BRATS_173.nii.gz_3,tensor(0.),"[51, 0]","[51, 0]","[33, 18]","[19, 32]","[51, 0]","[51, 0]","[28, 23]","[24, 27]","[11, 40]","[10, 41]"
27,BRATS_192.nii.gz_1,tensor(0.),"[76, 3]","[78, 1]","[65, 14]","[54, 25]","[79, 0]","[79, 0]","[70, 9]","[68, 11]","[30, 49]","[26, 53]"
28,BRATS_192.nii.gz_2,tensor(0.),"[50, 0]","[49, 1]","[24, 26]","[19, 31]","[50, 0]","[50, 0]","[20, 30]","[23, 27]","[4, 46]","[6, 44]"
29,BRATS_192.nii.gz_3,tensor(0.),"[41, 0]","[40, 1]","[16, 25]","[12, 29]","[41, 0]","[41, 0]","[19, 22]","[19, 22]","[5, 36]","[5, 36]"
30,BRATS_398.nii.gz_1,tensor(0.),"[67, 0]","[66, 1]","[63, 4]","[55, 12]","[67, 0]","[67, 0]","[62, 5]","[67, 0]","[32, 35]","[31, 36]"
31,BRATS_398.nii.gz_2,tensor(0.),"[40, 0]","[40, 0]","[22, 18]","[16, 24]","[40, 0]","[40, 0]","[15, 25]","[14, 26]","[12, 28]","[11, 29]"
32,BRATS_398.nii.gz_3,tensor(0.),"[39, 0]","[39, 0]","[9, 30]","[7, 32]","[39, 0]","[39, 0]","[17, 22]","[13, 26]","[10, 29]","[8, 31]"
33,BRATS_234.nii.gz_1,tensor(0.),"[74, 0]","[73, 1]","[73, 1]","[66, 8]","[74, 0]","[74, 0]","[72, 2]","[70, 4]","[27, 47]","[26, 48]"
34,BRATS_234.nii.gz_2,tensor(0.),"[49, 0]","[49, 0]","[29, 20]","[23, 26]","[49, 0]","[49, 0]","[23, 26]","[27, 22]","[12, 37]","[19, 30]"
35,BRATS_234.nii.gz_3,tensor(0.),"[46, 0]","[46, 0]","[41, 5]","[26, 20]","[46, 0]","[46, 0]","[28, 18]","[27, 19]","[16, 30]","[15, 31]"
36,BRATS_363.nii.gz_1,tensor(0.),"[73, 15]","[82, 6]","[83, 5]","[73, 15]","[88, 0]","[88, 0]","[86, 2]","[85, 3]","[40, 48]","[37, 51]"
37,BRATS_363.nii.gz_2,tensor(0.),"[33, 0]","[33, 0]","[23, 10]","[13, 20]","[33, 0]","[33, 0]","[25, 8]","[23, 10]","[19, 14]","[20, 13]"
38,BRATS_363.nii.gz_3,tensor(0.),"[33, 0]","[33, 0]","[12, 21]","[11, 22]","[33, 0]","[33, 0]","[15, 18]","[14, 19]","[14, 19]","[14, 19]"
39,BRATS_047.nii.gz_1,tensor(0.),"[71, 0]","[71, 0]","[68, 3]","[69, 2]","[71, 0]","[71, 0]","[53, 18]","[49, 22]","[21, 50]","[20, 51]"
40,BRATS_047.nii.gz_2,tensor(0.),"[60, 0]","[60, 0]","[48, 12]","[38, 22]","[60, 0]","[60, 0]","[37, 23]","[33, 27]","[12, 48]","[11, 49]"
41,BRATS_047.nii.gz_3,tensor(0.),"[56, 0]","[56, 0]","[41, 15]","[33, 23]","[56, 0]","[56, 0]","[40, 16]","[38, 18]","[17, 39]","[16, 40]"
42,BRATS_095.nii.gz_1,tensor(0.),"[45, 0]","[42, 3]","[38, 7]","[34, 11]","[45, 0]","[45, 0]","[32, 13]","[32, 13]","[23, 22]","[24, 21]"
43,BRATS_095.nii.gz_2,tensor(0.),"[29, 0]","[26, 3]","[9, 20]","[13, 16]","[29, 0]","[29, 0]","[18, 11]","[21, 8]","[5, 24]","[9, 20]"
44,BRATS_095.nii.gz_3,tensor(0.),"[14, 0]","[14, 0]","[7, 7]","[7, 7]","[14, 0]","[14, 0]","[7, 7]","[6, 8]","[7, 7]","[7, 7]"
45,BRATS_166.nii.gz_1,tensor(0.),"[58, 0]","[58, 0]","[55, 3]","[45, 13]","[58, 0]","[58, 0]","[53, 5]","[51, 7]","[17, 41]","[15, 43]"
46,BRATS_166.nii.gz_2,tensor(0.),"[50, 0]","[50, 0]","[37, 13]","[25, 25]","[50, 0]","[50, 0]","[24, 26]","[26, 24]","[19, 31]","[15, 35]"
47,BRATS_166.nii.gz_3,tensor(0.),"[51, 0]","[51, 0]","[45, 6]","[33, 18]","[51, 0]","[51, 0]","[27, 24]","[25, 26]","[15, 36]","[16, 35]"
48,BRATS_057.nii.gz_1,tensor(0.),"[76, 0]","[76, 0]","[75, 1]","[73, 3]","[76, 0]","[76, 0]","[71, 5]","[68, 8]","[36, 40]","[33, 43]"
49,BRATS_057.nii.gz_2,tensor(0.),"[47, 0]","[47, 0]","[24, 23]","[10, 37]","[47, 0]","[47, 0]","[15, 32]","[18, 29]","[9, 38]","[9, 38]"
50,BRATS_057.nii.gz_3,tensor(0.),"[41, 0]","[41, 0]","[37, 4]","[35, 6]","[41, 0]","[41, 0]","[30, 11]","[33, 8]","[16, 25]","[15, 26]"
51,BRATS_217.nii.gz_1,tensor(0.),"[82, 1]","[83, 0]","[82, 1]","[83, 0]","[83, 0]","[83, 0]","[67, 16]","[66, 17]","[28, 55]","[27, 56]"
52,BRATS_217.nii.gz_2,tensor(0.),"[44, 0]","[44, 0]","[28, 16]","[26, 18]","[44, 0]","[44, 0]","[24, 20]","[25, 19]","[12, 32]","[10, 34]"
53,BRATS_217.nii.gz_3,tensor(0.),"[43, 0]","[43, 0]","[38, 5]","[29, 14]","[43, 0]","[43, 0]","[31, 12]","[29, 14]","[17, 26]","[17, 26]"
54,BRATS_435.nii.gz_1,tensor(0.),"[81, 1]","[80, 2]","[53, 29]","[48, 34]","[82, 0]","[82, 0]","[59, 23]","[58, 24]","[13, 69]","[11, 71]"
55,BRATS_435.nii.gz_2,tensor(0.),"[64, 0]","[64, 0]","[20, 44]","[21, 43]","[64, 0]","[64, 0]","[29, 35]","[24, 40]","[10, 54]","[10, 54]"
56,BRATS_435.nii.gz_3,tensor(0.),"[63, 0]","[63, 0]","[51, 12]","[35, 28]","[63, 0]","[63, 0]","[43, 20]","[35, 28]","[12, 51]","[10, 53]"
57,BRATS_091.nii.gz_1,tensor(0.),"[70, 0]","[69, 1]","[70, 0]","[64, 6]","[70, 0]","[70, 0]","[58, 12]","[57, 13]","[13, 57]","[13, 57]"
58,BRATS_091.nii.gz_2,tensor(0.),"[57, 0]","[56, 1]","[56, 1]","[50, 7]","[57, 0]","[57, 0]","[47, 10]","[46, 11]","[19, 38]","[18, 39]"
59,BRATS_091.nii.gz_3,tensor(0.),"[50, 0]","[49, 1]","[42, 8]","[37, 13]","[50, 0]","[50, 0]","[38, 12]","[41, 9]","[11, 39]","[13, 37]"
60,BRATS_249.nii.gz_1,tensor(0.),"[82, 0]","[82, 0]","[80, 2]","[78, 4]","[82, 0]","[81, 1]","[65, 17]","[61, 21]","[28, 54]","[23, 59]"
61,BRATS_249.nii.gz_2,tensor(0.),"[69, 0]","[69, 0]","[58, 11]","[37, 32]","[69, 0]","[68, 1]","[36, 33]","[36, 33]","[17, 52]","[16, 53]"
62,BRATS_249.nii.gz_3,tensor(0.),"[64, 0]","[64, 0]","[53, 11]","[45, 19]","[64, 0]","[63, 1]","[37, 27]","[35, 29]","[20, 44]","[18, 46]"
63,BRATS_419.nii.gz_1,tensor(0.),"[61, 0]","[61, 0]","[61, 0]","[50, 11]","[61, 0]","[61, 0]","[60, 1]","[57, 4]","[22, 39]","[21, 40]"
64,BRATS_419.nii.gz_2,tensor(0.),"[35, 0]","[35, 0]","[17, 18]","[15, 20]","[35, 0]","[35, 0]","[15, 20]","[23, 12]","[9, 26]","[11, 24]"
65,BRATS_419.nii.gz_3,tensor(0.),"[55, 0]","[55, 0]","[41, 14]","[31, 24]","[55, 0]","[55, 0]","[31, 24]","[32, 23]","[20, 35]","[21, 34]"
66,BRATS_286.nii.gz_1,tensor(0.),"[64, 1]","[62, 3]","[33, 32]","[20, 45]","[65, 0]","[65, 0]","[51, 14]","[48, 17]","[24, 41]","[19, 46]"
67,BRATS_286.nii.gz_2,tensor(4.1651e-06),"[56, 0]","[54, 2]","[39, 17]","[34, 22]","[56, 0]","[56, 0]","[33, 23]","[26, 30]","[26, 30]","[22, 34]"
68,BRATS_286.nii.gz_3,tensor(0.),"[56, 0]","[54, 2]","[47, 9]","[40, 16]","[56, 0]","[56, 0]","[40, 16]","[39, 17]","[19, 37]","[19, 37]"
69,BRATS_088.nii.gz_1,tensor(0.),"[87, 0]","[86, 1]","[85, 2]","[76, 11]","[87, 0]","[87, 0]","[69, 18]","[67, 20]","[35, 52]","[33, 54]"
70,BRATS_088.nii.gz_2,tensor(0.),"[70, 0]","[69, 1]","[33, 37]","[30, 40]","[70, 0]","[70, 0]","[33, 37]","[27, 43]","[21, 49]","[21, 49]"
71,BRATS_088.nii.gz_3,tensor(0.),"[39, 0]","[39, 0]","[26, 13]","[17, 22]","[39, 0]","[39, 0]","[27, 12]","[26, 13]","[12, 27]","[12, 27]"
72,BRATS_052.nii.gz_1,tensor(0.),"[58, 0]","[58, 0]","[58, 0]","[50, 8]","[58, 0]","[58, 0]","[41, 17]","[42, 16]","[15, 43]","[16, 42]"
73,BRATS_052.nii.gz_2,tensor(0.),"[46, 0]","[46, 0]","[46, 0]","[44, 2]","[46, 0]","[46, 0]","[32, 14]","[32, 14]","[27, 19]","[25, 21]"
74,BRATS_052.nii.gz_3,tensor(0.),"[26, 0]","[26, 0]","[21, 5]","[21, 5]","[26, 0]","[26, 0]","[18, 8]","[19, 7]","[13, 13]","[13, 13]"
75,BRATS_372.nii.gz_1,tensor(0.),"[47, 0]","[47, 0]","[42, 5]","[36, 11]","[47, 0]","[47, 0]","[36, 11]","[33, 14]","[19, 28]","[17, 30]"
76,BRATS_372.nii.gz_2,tensor(0.),"[24, 0]","[24, 0]","[5, 19]","[8, 16]","[24, 0]","[24, 0]","[9, 15]","[11, 13]","[8, 16]","[9, 15]"
77,BRATS_372.nii.gz_3,tensor(0.),"[22, 0]","[22, 0]","[12, 10]","[8, 14]","[22, 0]","[22, 0]","[5, 17]","[4, 18]","[5, 17]","[6, 16]"
78,BRATS_245.nii.gz_1,tensor(0.),"[88, 0]","[85, 3]","[64, 24]","[56, 32]","[88, 0]","[88, 0]","[26, 62]","[24, 64]","[17, 71]","[18, 70]"
79,BRATS_245.nii.gz_2,tensor(0.),"[78, 0]","[77, 1]","[27, 51]","[29, 49]","[78, 0]","[78, 0]","[14, 64]","[20, 58]","[7, 71]","[9, 69]"
80,BRATS_245.nii.gz_3,tensor(0.),"[66, 0]","[63, 3]","[34, 32]","[37, 29]","[66, 0]","[66, 0]","[31, 35]","[41, 25]","[8, 58]","[17, 49]"
81,BRATS_084.nii.gz_1,tensor(0.),"[67, 0]","[67, 0]","[42, 25]","[37, 30]","[66, 1]","[65, 2]","[57, 10]","[56, 11]","[14, 53]","[20, 47]"
82,BRATS_084.nii.gz_2,tensor(0.),"[25, 0]","[25, 0]","[19, 6]","[14, 11]","[25, 0]","[25, 0]","[4, 21]","[6, 19]","[4, 21]","[5, 20]"
83,BRATS_084.nii.gz_3,tensor(0.),"[18, 0]","[18, 0]","[17, 1]","[14, 4]","[18, 0]","[18, 0]","[15, 3]","[17, 1]","[11, 7]","[11, 7]"
84,BRATS_090.nii.gz_1,tensor(0.),"[87, 2]","[84, 5]","[79, 10]","[69, 20]","[89, 0]","[89, 0]","[75, 14]","[76, 13]","[27, 62]","[26, 63]"
85,BRATS_090.nii.gz_2,tensor(0.),"[30, 10]","[34, 6]","[19, 21]","[24, 16]","[34, 6]","[34, 6]","[13, 27]","[15, 25]","[6, 34]","[11, 29]"
86,BRATS_090.nii.gz_3,tensor(0.),"[28, 0]","[28, 0]","[21, 7]","[25, 3]","[28, 0]","[28, 0]","[21, 7]","[22, 6]","[9, 19]","[6, 22]"
87,BRATS_100.nii.gz_1,tensor(0.),"[59, 0]","[58, 1]","[57, 2]","[49, 10]","[59, 0]","[59, 0]","[58, 1]","[57, 2]","[25, 34]","[23, 36]"
88,BRATS_100.nii.gz_2,tensor(0.),"[43, 0]","[43, 0]","[18, 25]","[16, 27]","[43, 0]","[43, 0]","[28, 15]","[28, 15]","[15, 28]","[17, 26]"
89,BRATS_100.nii.gz_3,tensor(0.),"[42, 0]","[42, 0]","[27, 15]","[28, 14]","[42, 0]","[42, 0]","[32, 10]","[31, 11]","[10, 32]","[9, 33]"
90,BRATS_018.nii.gz_1,tensor(0.),"[69, 0]","[69, 0]","[65, 4]","[60, 9]","[69, 0]","[69, 0]","[43, 26]","[37, 32]","[21, 48]","[20, 49]"
91,BRATS_018.nii.gz_2,tensor(0.),"[53, 0]","[53, 0]","[48, 5]","[41, 12]","[53, 0]","[53, 0]","[36, 17]","[24, 29]","[22, 31]","[18, 35]"
92,BRATS_018.nii.gz_3,tensor(0.),"[53, 0]","[53, 0]","[45, 8]","[35, 18]","[53, 0]","[53, 0]","[7, 46]","[5, 48]","[5, 48]","[5, 48]"
93,BRATS_081.nii.gz_1,tensor(0.),"[52, 0]","[52, 0]","[50, 2]","[46, 6]","[52, 0]","[52, 0]","[48, 4]","[48, 4]","[24, 28]","[23, 29]"
94,BRATS_081.nii.gz_2,tensor(0.),"[31, 0]","[31, 0]","[24, 7]","[12, 19]","[31, 0]","[31, 0]","[11, 20]","[9, 22]","[12, 19]","[14, 17]"
